
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0         24 K
System                           4 Services                   0      4,960 K
smss.exe                       340 Services                   0      1,428 K
csrss.exe                      608 Services                   0      5,664 K
csrss.exe                      696 Console                    1      8,372 K
wininit.exe                    704 Services                   0      5,072 K
winlogon.exe                   764 Console                    1      9,096 K
services.exe                   804 Services                   0     14,264 K
lsass.exe                      812 Services                   0     14,832 K
lsm.exe                        820 Services                   0      4,972 K
svchost.exe                    924 Services                   0     11,608 K
nvvsvc.exe                     996 Services                   0      8,476 K
nvSCPAPISvr.exe               1020 Services                   0      7,148 K
svchost.exe                    380 Services                   0     12,500 K
svchost.exe                    816 Services                   0     28,580 K
svchost.exe                    836 Services                   0    247,164 K
svchost.exe                   1048 Services                   0     27,444 K
svchost.exe                   1076 Services                   0     63,472 K
svchost.exe                   1180 Services                   0      6,468 K
svchost.exe                   1344 Services                   0     22,048 K
nvxdsync.exe                  1552 Console                    1     20,076 K
nvvsvc.exe                    1568 Console                    1     14,308 K
wlanext.exe                   1764 Services                   0     19,336 K
conhost.exe                   1776 Services                   0      3,232 K
spoolsv.exe                   2036 Services                   0     16,632 K
svchost.exe                   1200 Services                   0     16,472 K
svchost.exe                   1332 Services                   0     16,904 K
AERTSr64.exe                  1712 Services                   0      3,516 K
AppleMobileDeviceService.     1684 Services                   0     10,124 K
mDNSResponder.exe             2004 Services                   0      6,840 K
CarboniteService.exe          1244 Services                   0     53,556 K
EvtEng.exe                    1840 Services                   0     16,632 K
taskhost.exe                  2436 Console                    1     18,980 K
hydra_service.exe             2600 Services                   0      6,308 K
smpd.exe                      2700 Services                   0      8,236 K
mbamscheduler.exe             2736 Services                   0     10,652 K
dwm.exe                       2788 Console                    1     74,140 K
explorer.exe                  2836 Console                    1     89,728 K
GoogleCrashHandler.exe        2872 Services                   0      1,016 K
mbamservice.exe               3004 Services                   0    109,032 K
GoogleCrashHandler64.exe      3020 Services                   0        528 K
nst.exe                       1488 Services                   0     20,064 K
googledrivesync.exe           2520 Console                    1      4,100 K
nis.exe                       2284 Services                   0     14,200 K
smartsvn.exe                  2536 Console                    1    334,108 K
MagicDisc.exe                 2364 Console                    1      8,508 K
mbam.exe                      2752 Console                    1     49,496 K
nusb3mon.exe                  2480 Console                    1      5,964 K
CarboniteUI.exe               1428 Console                    1     38,128 K
nst.exe                       2484 Console                    1     15,344 K
StartManSvc.exe               3080 Services                   0      8,840 K
RegSrvc.exe                   3300 Services                   0      8,396 K
sqlwriter.exe                 3448 Services                   0      7,000 K
statuscached.exe              3512 Services                   0      4,064 K
statuscached.exe              3552 Services                   0     65,392 K
svchost.exe                   3564 Services                   0     41,916 K
vmnat.exe                     3640 Services                   0      5,268 K
ZeroConfigService.exe         3852 Services                   0     20,184 K
vmware-authd.exe              3804 Services                   0     10,012 K
vmnetdhcp.exe                  792 Services                   0     10,656 K
vmware-usbarbitrator64.ex     2864 Services                   0      8,740 K
googledrivesync.exe           3724 Console                    1    140,392 K
nis.exe                       5016 Console                    1     10,236 K
unsecapp.exe                  4560 Services                   0      5,872 K
WmiPrvSE.exe                  4584 Services                   0     18,312 K
vmware-hostd.exe              4888 Services                   0     51,436 K
WmiPrvSE.exe                  4572 Services                   0     12,288 K
SearchIndexer.exe             5236 Services                   0     69,416 K
svchost.exe                   5684 Services                   0      5,244 K
svchost.exe                   5748 Services                   0      6,696 K
wmpnetwk.exe                  5288 Services                   0     17,604 K
svchost.exe                   5448 Services                   0     18,888 K
PhotoshopElementsFileAgen     1196 Services                   0      1,828 K
devmonsrv.exe                 3104 Services                   0      8,084 K
mediasrv.exe                  3936 Services                   0      9,672 K
obexsrv.exe                   1928 Services                   0      7,672 K
taskeng.exe                   3704 Console                    1      7,072 K
nu.exe                        6512 Console                    1      2,620 K
AAM Updates Notifier.exe      4956 Console                    1      1,576 K
OSPPSVC.EXE                   7388 Services                   0     11,552 K
chrome.exe                    2420 Console                    1    124,336 K
chrome.exe                    8088 Console                    1      4,244 K
chrome.exe                    7968 Console                    1    105,304 K
chrome.exe                    3928 Console                    1    140,836 K
pageant.exe                   6880 Console                    1     23,080 K
chrome.exe                     400 Console                    1    114,820 K
cmd.exe                       8908 Console                    1      4,764 K
conhost.exe                   1152 Console                    1      7,052 K
chrome.exe                    5608 Console                    1     66,264 K
SearchProtocolHost.exe        8404 Services                   0      7,860 K
VSSVC.exe                     4476 Services                   0      8,832 K
svchost.exe                   7784 Services                   0      6,792 K
fds_mpi_win_64.exe            7744 Console                    1     56,216 K
taskmgr.exe                   7720 Console                    1     12,352 K
cmd.exe                       6520 Console                    1      3,760 K
conhost.exe                   8940 Console                    1      6,596 K
notepad.exe                   4736 Console                    1      7,696 K
taskeng.exe                   4700 Services                   0      5,912 K
chrome.exe                    7684 Console                    1     56,012 K
SearchFilterHost.exe          3112 Services                   0      8,172 K
timeout.exe                   6656 Console                    1      3,300 K
tasklist.exe                  1920 Console                    1      6,392 K
